family,published_products,data_dimension_ready,source,limitation
drip_tape,4,,growthos-phase4-results/compatibility-summary.json,"Ready count not listed separately; do not impute zero"
drip_tape_component,12,12,growthos-phase4-results/compatibility-summary.json,"Family readiness is not SKU-to-SKU compatibility proof"
layflat_rain,18,12,growthos-phase4-results/compatibility-summary.json,"Family readiness is not SKU-to-SKU compatibility proof"
layflat_component,11,11,growthos-phase4-results/compatibility-summary.json,"Family readiness is not SKU-to-SKU compatibility proof"
fitting,213,209,growthos-phase4-results/compatibility-summary.json,"Family readiness is not SKU-to-SKU compatibility proof"
washer_clamp,28,28,growthos-phase4-results/compatibility-summary.json,"Family readiness is not SKU-to-SKU compatibility proof"
branch_connector,2,2,growthos-phase4-results/compatibility-summary.json,"Family readiness is not SKU-to-SKU compatibility proof"
installation_tool,8,8,growthos-phase4-results/compatibility-summary.json,"Family readiness is not SKU-to-SKU compatibility proof"
pipe,9,8,growthos-phase4-results/compatibility-summary.json,"Family readiness is not SKU-to-SKU compatibility proof"
valve,41,25,growthos-phase4-results/compatibility-summary.json,"Family readiness is not SKU-to-SKU compatibility proof"
filter,6,3,growthos-phase4-results/compatibility-summary.json,"Family readiness is not SKU-to-SKU compatibility proof"
