"product_id","product_name","observed_nominal_size","source","observation_method","limitation"
"135309","لوله نخدار ۲ اینچ آسایش آذربایجان ۵ لایه ۱۰۰ متری","2","results/category-audit-20260926-growthos-phase6-readback-lay.json","size label parsed from exact live product title","title observation only; not proof of physical diameter or pressure class"
"135311","لوله نخدار ۲.۵ اینچ آسایش آذربایجان ۵ لایه ۱۰۰ متری","2.5","results/category-audit-20260926-growthos-phase6-readback-lay.json","size label parsed from exact live product title","title observation only; not proof of physical diameter or pressure class"
"135313","لوله نخدار ۳.۵ اینچ آسایش آذربایجان ۵ لایه ۱۰۰ متری","3.5","results/category-audit-20260926-growthos-phase6-readback-lay.json","size label parsed from exact live product title","title observation only; not proof of physical diameter or pressure class"
"135315","لوله نخدار ۴ اینچ آسایش آذربایجان ۵ لایه ۱۰۰ متری","4","results/category-audit-20260926-growthos-phase6-readback-lay.json","size label parsed from exact live product title","title observation only; not proof of physical diameter or pressure class"
"135317","لوله نخدار ۴.۵ اینچ آسایش آذربایجان ۵ لایه ۱۰۰ متری","4.5","results/category-audit-20260926-growthos-phase6-readback-lay.json","size label parsed from exact live product title","title observation only; not proof of physical diameter or pressure class"
"135319","لوله نخدار ۵.۵ اینچ آسایش آذربایجان ۵ لایه ۱۰۰ متری","5.5","results/category-audit-20260926-growthos-phase6-readback-lay.json","size label parsed from exact live product title","title observation only; not proof of physical diameter or pressure class"
"135321","لوله نخدار ۶ اینچ آسایش آذربایجان ۵ لایه ۱۰۰ متری","6","results/category-audit-20260926-growthos-phase6-readback-lay.json","size label parsed from exact live product title","title observation only; not proof of physical diameter or pressure class"
"135485","لوله نخدار ۵ اینچ آسایش آذربایجان ۵ لایه ۱۰۰ متری","5","results/category-audit-20260926-growthos-phase6-readback-lay.json","size label parsed from exact live product title","title observation only; not proof of physical diameter or pressure class"
"135487","لوله نخدار ۳ اینچ آسایش آذربایجان ۵ لایه ۱۰۰ متری","3","results/category-audit-20260926-growthos-phase6-readback-lay.json","size label parsed from exact live product title","title observation only; not proof of physical diameter or pressure class"
"140014","لوله بارانی مه‌پاش ۲ اینچ آسایش آذربایجان ۱۰۰ متری","2","results/category-audit-20260926-growthos-phase6-readback-lay.json","size label parsed from exact live product title","title observation only; not proof of physical diameter or pressure class"
"141585","لوله نخدار ۶.۵ اینچ آسایش آذربایجان ۵ لایه ۱۰۰ متری","6.5","results/category-audit-20260926-growthos-phase6-readback-lay.json","size label parsed from exact live product title","title observation only; not proof of physical diameter or pressure class"
"141597","لوله نخدار ۸ اینچ آسایش آذربایجان ۵ لایه ۱۰۰ متری","8","results/category-audit-20260926-growthos-phase6-readback-lay.json","size label parsed from exact live product title","title observation only; not proof of physical diameter or pressure class"
"144244","لوله نخدار آبیاری موج 2.5 اینچ","2.5","results/category-audit-20260926-growthos-phase6-readback-lay.json","size label parsed from exact live product title","title observation only; not proof of physical diameter or pressure class"
"144245","لوله نخدار آبیاری موج 3 اینچ","3","results/category-audit-20260926-growthos-phase6-readback-lay.json","size label parsed from exact live product title","title observation only; not proof of physical diameter or pressure class"
"144246","لوله نخدار آبیاری موج 3.5 اینچ","3.5","results/category-audit-20260926-growthos-phase6-readback-lay.json","size label parsed from exact live product title","title observation only; not proof of physical diameter or pressure class"
"144247","لوله نخدار آبیاری موج 4 اینچ","4","results/category-audit-20260926-growthos-phase6-readback-lay.json","size label parsed from exact live product title","title observation only; not proof of physical diameter or pressure class"
"144248","لوله نخدار آبیاری موج 4.5 اینچ","4.5","results/category-audit-20260926-growthos-phase6-readback-lay.json","size label parsed from exact live product title","title observation only; not proof of physical diameter or pressure class"
"144249","لوله مه پاش بارانی موج 2 اینچ 100 متری","2","results/category-audit-20260926-growthos-phase6-readback-lay.json","size label parsed from exact live product title","title observation only; not proof of physical diameter or pressure class"
