"nominal_inch","project_mm_mapping","source","source_date","limitation"
"2","50","user_project_mapping","2026-09-23","catalog nominal mapping; not a universal mathematical inch-to-mm conversion"
"2.5","63","user_project_mapping","2026-09-23","catalog nominal mapping; not a universal mathematical inch-to-mm conversion"
"3","75","user_project_mapping","2026-09-23","catalog nominal mapping; not a universal mathematical inch-to-mm conversion"
"3.5","90","user_project_mapping","2026-09-23","catalog nominal mapping; not a universal mathematical inch-to-mm conversion"
"4","100","user_project_mapping","2026-09-23","catalog nominal mapping; not a universal mathematical inch-to-mm conversion"
"4.5","110","user_project_mapping","2026-09-23","catalog nominal mapping; not a universal mathematical inch-to-mm conversion"
"5","125","user_project_mapping","2026-09-23","catalog nominal mapping; not a universal mathematical inch-to-mm conversion"
"5.5","140","user_project_mapping","2026-09-23","catalog nominal mapping; not a universal mathematical inch-to-mm conversion"
"6","150","user_project_mapping","2026-09-23","catalog nominal mapping; not a universal mathematical inch-to-mm conversion"
"6.5","160","user_project_mapping","2026-09-23","catalog nominal mapping; not a universal mathematical inch-to-mm conversion"
"8","","live_catalog_observed_size_only","2026-09-26","8-inch product exists in live catalog; millimeter mapping remains unknown because project mapping did not supply it"
